ToolName,Num_Pat,Num_Net,AUROC_Tool,AUROC_PHACTboost,AUPR_Tool,AUPR_PHACTboost
SIFT,12815,12679,0.908724864082122,0.990527481040305,0.886863952133173,0.990983503578461
SIFT4G,12864,13346,0.889967057531353,0.990481133641183,0.853798844230461,0.990596502757389
Polyphen2_HDIV,12513,12021,0.897730611058767,0.990370304376836,0.873167964067244,0.991144313686987
Polyphen2_HVAR,12513,12021,0.916837341838974,0.990370304376836,0.906396496679512,0.991144313686987
LRT,12621,10459,0.896232574615188,0.989560823671694,0.883950183775821,0.991608661862049
MutationTaster,13065,13105,0.93065902839864,0.990568421064941,0.89726666473302,0.990939187551132
MutationAssessor,12076,11676,0.90342748041665,0.990220368067524,0.90479123779989,0.990888499719316
FATHMM,12866,12576,0.914818800187013,0.990554472179215,0.922059627613787,0.991130662444622
PROVEAN,12961,12741,0.903247797403188,0.990528394515008,0.886237720749873,0.991038295983508
VEST4,13084,13548,0.988111083483461,0.990568730477015,0.987275639482621,0.990703241313017
REVEL,12943,12734,0.986711715808551,0.990593695538299,0.988155281463427,0.991085429395463
MVP,13097,2698,0.974519229925674,0.990409474201552,0.994502577332265,0.997927775127437
gMVP,12664,13524,0.977746803698291,0.990854295108589,0.97832813467464,0.990752381182455
MPC,11946,11158,0.886525572280854,0.990088561578964,0.892287567954678,0.990939930922788
PrimateAI,12601,12422,0.924909922161548,0.990326591346415,0.916506013200223,0.990846137694009
DEOGEN2,12686,12991,0.976331128987252,0.990221119016911,0.978003871812551,0.990444928461099
LIST-S2,12956,13219,0.948383912581423,0.990653766981205,0.940889803058871,0.990936889995364
VARITY_R,12759,13017,0.969826913328253,0.990349684881923,0.967980028147699,0.990570371288412
VARITY_ER,12759,13017,0.964850804957315,0.990349684881923,0.962848123562543,0.990570371288412
VARITY_R_LOO,12759,13017,0.969667635399925,0.990349684881923,0.967793618058345,0.990570371288412
VARITY_ER_LOO,12759,13017,0.964814281249174,0.990349684881923,0.962707075685367,0.990570371288412
CADD_raw_hg19,13099,13686,0.954313084351388,0.990732080140132,0.942276427185167,0.990780146838612
DANN,13099,13686,0.869575104915181,0.990732080140132,0.819880534064008,0.990780146838612
fathmm-MKL_coding,13099,13685,0.933838191788841,0.990732652491,0.911297288210032,0.990781020082471
fathmm-XF_coding,11615,12886,0.947339359043032,0.990192555145605,0.944046808360339,0.98970901834856
Eigen-raw_coding,11667,12910,0.957461431167271,0.99032104892179,0.949491553835244,0.989843353812734
Eigen-PC-raw_coding,11667,12910,0.954820205314047,0.99032104892179,0.945883798245262,0.989843353812734
GenoCanyon,13099,13686,0.81143685766161,0.990732080140132,0.767112109321143,0.990780146838612
integrated_fitCons,11677,13435,0.625871192591533,0.990468636652422,0.556783726058422,0.989656855103074
GM12878_fitCons,11677,13435,0.580944202145717,0.990468636652422,0.529997970526182,0.989656855103074
H1-hESC_fitCons,11677,13435,0.612237276533326,0.990468636652422,0.550644757694798,0.989656855103074
HUVEC_fitCons,11677,13435,0.605106670526505,0.990468636652422,0.560806611947119,0.989656855103074
LINSIGHT,16,367,0.939543596730245,0.97258174386921,0.462587969753098,0.834960913439192
GERP++,13099,13455,0.870362359834178,0.990653936921301,0.824022487805494,0.99085267108592
phyloP470way,12241,11857,0.903614676479552,0.98977985192486,0.890308449788596,0.990490114371654
phyloP17way,13109,13907,0.800735779211982,0.99070452438202,0.716229097479779,0.990633459033917
phastCons470way,13109,13862,0.847507256312314,0.990664987909451,0.764495001551936,0.990621681703428
phastCons17way,13109,13907,0.826788687598667,0.99070452438202,0.784064870144433,0.990633459033917
SiPhy,13096,13388,0.89439138813851,0.990609843943403,0.861088641058804,0.990837175080249
bStatistic,12925,13602,0.610929491254131,0.990671868996254,0.580298721941745,0.99063755597285
