ToolName,Num_Pat,Num_Net,AUROC_Tool,AUROC_PHACTboost,AUPR_Tool,AUPR_PHACTboost
SIFT,261,1192,0.922142186736608,0.976204710843679,0.700420758538347,0.914509554709099
SIFT4G,260,1238,0.892615260345468,0.975742512737663,0.590372619679477,0.909556654980329
Polyphen2_HDIV,262,1198,0.900815927308874,0.976535319680386,0.635176283774304,0.915364615131558
Polyphen2_HVAR,262,1198,0.914574545361863,0.976535319680386,0.71675786042445,0.915364615131558
LRT,257,1115,0.894186107379028,0.974936748617189,0.56908693503407,0.914513058512945
MutationTaster,263,1236,0.916865086689559,0.976152681900408,0.617010499977574,0.912679702897737
MutationAssessor,251,1138,0.891460519958827,0.976764296067047,0.691589243155695,0.914708935867805
FATHMM,242,1140,0.733947730897492,0.976544149630276,0.391997600212486,0.911873744943492
PROVEAN,261,1195,0.903897144872474,0.976261241764058,0.666397121131894,0.914508467191863
VEST4,261,1237,0.979940035371697,0.975989369906791,0.925134015375431,0.910751500290029
REVEL,263,1196,0.962830792120757,0.976505970471906,0.886633883850503,0.915298507983704
MVP,263,248,0.892416901753955,0.977032993989943,0.893889472444409,0.978601670616013
gMVP,261,1238,0.950210139948869,0.976157317141105,0.866414175423647,0.911256829817629
MPC,245,1117,0.924829627464245,0.976091206401991,0.788809242614567,0.913078019139168
PrimateAI,253,1167,0.931624279003274,0.976978909470244,0.756449372592904,0.913929119360669
DEOGEN2,262,1229,0.924522823123126,0.976630289629126,0.73174146324009,0.914280531225067
LIST-S2,259,1214,0.945790106416137,0.976337834657439,0.81254601219132,0.913014286367607
VARITY_R,262,1232,0.957841776544071,0.976693392485381,0.83354204680386,0.914289548409252
VARITY_ER,262,1232,0.955651457321307,0.976693392485381,0.826436535323277,0.914289548409252
VARITY_R_LOO,262,1232,0.958061737880445,0.976693392485381,0.831704861249497,0.914289548409252
VARITY_ER_LOO,262,1232,0.955606535639935,0.976693392485381,0.826179006882924,0.914289548409252
CADD_raw_hg19,263,1259,0.949964816062001,0.976530954315246,0.799737027541124,0.912625955705527
DANN,263,1259,0.894609760296209,0.976530954315246,0.593724134215993,0.912625955705527
fathmm-MKL_coding,263,1259,0.916023641190274,0.976530954315246,0.694289589257551,0.912625955705527
fathmm-XF_coding,243,1187,0.933929295765851,0.975215035310519,0.748967370294251,0.90942698515302
Eigen-raw_coding,243,1194,0.953839843938483,0.975501650915761,0.815283884542387,0.909700145025662
Eigen-PC-raw_coding,243,1194,0.949778039718483,0.975501650915761,0.798643769386274,0.909700145025662
GenoCanyon,263,1259,0.781699520109207,0.976530954315246,0.38994595936712,0.912625955705527
integrated_fitCons,243,1219,0.586294844657801,0.975649608226403,0.193242483149751,0.908968838497766
GM12878_fitCons,243,1219,0.638780016001782,0.975649608226403,0.239009434762632,0.908968838497766
H1-hESC_fitCons,243,1219,0.617589469881877,0.975649608226403,0.208306319089553,0.908968838497766
HUVEC_fitCons,243,1219,0.603059581320451,0.975649608226403,0.207656687006761,0.908968838497766
GERP++,263,1252,0.841613114833758,0.976603214324759,0.455108703570159,0.913235024284432
phyloP470way,253,1130,0.887376263597887,0.974343278883489,0.625964319272933,0.908963985636801
phastCons470way,263,1261,0.807625971300465,0.976073669578432,0.357415245221108,0.910234715667486
SiPhy,263,1238,0.885229764676252,0.976366272105748,0.548062751253494,0.913259398960131
bStatistic,262,1233,0.552345486401318,0.975666004222312,0.214228330711592,0.909884972129673
